Entity,Code,Year,Literate world population (OWID based on OECD & UNESCO (2019)),Illiterate world population (OWID based on OECD & UNESCO (2019)),Total world population
World,OWID_WRL,1800,12.04668918,87.95331082,100
World,OWID_WRL,1820,12.04668918,87.95331082,100
World,OWID_WRL,1870,18.74055449,81.25944551,100
World,OWID_WRL,1880,19.6284556,80.3715444,100
World,OWID_WRL,1890,20.5163567,79.4836433,100
World,OWID_WRL,1900,21.40425781,78.59574219,100
World,OWID_WRL,1910,26.44560193,73.55439807,100
World,OWID_WRL,1920,31.62316322,68.37683678,100
World,OWID_WRL,1930,32.52762946,67.47237054,100
World,OWID_WRL,1940,41.87922436,58.12077564,100
World,OWID_WRL,1950,56,44,100
World,OWID_WRL,1960,60.7,39.3,100
World,OWID_WRL,1970,65.8,34.2,100
World,OWID_WRL,1980,70,30,100
World,OWID_WRL,1990,75.7,24.3,100
World,OWID_WRL,2000,81.9,18.1,100
World,OWID_WRL,2012,85.36389,14.63611,100
World,OWID_WRL,2013,85.49051,14.50949,100
World,OWID_WRL,2014,85.80934,14.19066,100
World,OWID_WRL,2015,86.01721,13.98279,100
World,OWID_WRL,2016,86.24776,13.75224,100
